INV_ID,INV_NO,ANC_NUM,INV_CATL_NO,CATL_MODELE,MARQ,DATE_INSPECTION,CE_NO,ELEMENT,CATEGORIE,COULEUR,MATERIAU,CONDITION,INTERVENTION,EMPL_X,EMPL_Y,EMPL_Z,TERRITOIRE,STATUT,BASE,ANCRAGE,PARC,AIRE,EMPL_ID,ORDRE_AFFICHAGE,LONG,LAT
1551304,INV-1551304,6133,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,271912.038,5035868.725,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542968,2,-73.920547,45.461973
1551305,INV-1551305,6190,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,271678.259,5036674.927,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542969,2,-73.923591,45.469216
1551306,INV-1551306,6191,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,271679.048,5036673.406,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542970,2,-73.92358,45.469203
1551307,INV-1551307,6068,1192,"24,08","Support à bicyclettes ""parc-nature""",,61,Support vélo SUV,Support vélo,,,,,270738.129,5036955.354,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542971,2,-73.935633,45.471694
1551308,INV-1551308,6477,691,"24,06",Support à bicyclettes à sécurité maximum(modèle sa),,61,Support vélo SUV,Support vélo,,,,,270581.852,5035969.07,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542972,2,-73.937563,45.462812
1551309,INV-1551309,6476,691,"24,06",Support à bicyclettes à sécurité maximum(modèle sa),,61,Support vélo SUV,Support vélo,,,,,270582.727,5035968.775,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542973,2,-73.937552,45.462809
1551310,INV-1551310,6310,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,270260.698,5035946.002,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542974,2,-73.941668,45.462588
1551311,INV-1551311,6309,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,270260.133,5035944.759,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542975,2,-73.941675,45.462577
1551312,INV-1551312,6248,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,270255.81,5035927.344,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542976,2,-73.941729,45.46242
1551313,INV-1551313,6245,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,270253.99,5035957.901,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542977,2,-73.941755,45.462695
1551314,INV-1551314,6244,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,270252.092,5035955.346,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542978,2,-73.941779,45.462672
1551315,INV-1551315,6243,688,"24,03",Support à bicyclettes à haute densité 7 places (cp-7),,61,Support vélo SUV,Support vélo,,,,,270248.681,5035953.833,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542979,2,-73.941822,45.462658
1551316,INV-1551316,6578,1195,Modèle à valider,Support à bicyclettes à valider,,61,Support vélo SUV,Support vélo,,,,,271798.427,5036582.429,0,6;,Actif,NON,,CAP-SAINT-JACQUES,,1542980,2,-73.922048,45.46839
