Numero station,Nom,Adresse,Arrondissement/Ville,Latitude,Longitude
1,Jardin Botanique,"Jardin Botanique, Montréal",Rosemont-La Petite-Patrie,"45.56221","-73.571785"
3,Saint-Jean-Baptiste ,"1050 A, St-Jean-Baptiste",Rivière-des-Prairies,"45.641026","-73.499682"
6,Anjou,7650 rue Châteauneuf,Anjou,"45.602846","-73.558874"
7,Chénier,Aréna Chénier (coin Chénier et Avenue de l'Aréna),Anjou,"45.60176","-73.541992"
12,Ontario,1125 Ontario,Ville-Marie,"45.52055","-73.563222"
13,Drummond,1212 Drummond,Ville-Marie,"45.497859","-73.573035"
17,Caserne 17,4240 rue Charleroi,Montréal-Nord,"45.593325","-73.637328"
28,Échangeur Décarie,2495 Duncan,Mont-Royal,"45.502648","-73.663913"
29,Parc Pilon,"11280 Pie IX, (Parc Pilon)",Montréal-Nord,"45.594576","-73.641535"
43,Saint-Michel,8110 Boul. St-Michel,St-Michel,"45.563697","-73.610447"
49,Dorval,55 ave. Lilas,Dorval,"45.439119","-73.7333"
50,Hochelaga-Maisonneuve,"3250, Ste-Catherine Est",Hochelaga-Maisonneuve,"45.539928","-73.540388"
55,Rivière-des-Prairies,"12400, Wilfrid-Ouellette, coin Louis-Lumière",Rivière-des-Prairies,"45.651722","-73.573896"
59,Rivière-des-Prairies,12145 boul. Rivière-des-Prairies,Rivière-des-Prairies,"45.652701","-73.562951"
61,"Maisonneuve, Ville-Marie",1001 de Maisonneuve Ouest,Ville-Marie,"45.501531","-73.574311"
66,Aéroport de Montréal Dorval,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",Dorval,"45.468297","-73.741185"
68,Verdun,3161 Joseph,Verdun,"45.472854","-73.57296"
80,Saint-Joseph (Rosemont-La Petite-Patrie),2580 Saint-Joseph est,Rosemont-La Petite-Patrie,"45.542767","-73.572039"
99,Sainte-Anne-de-Bellevue,"20965, Ch. Ste-Marie",Sainte-Anne-de-Bellevue,"45.426509","-73.928944"
