,"INT","RUE1 / RUE2","Rire_1","Rire_2","X","Y"
1,10,"Côte-Saint-Luc / Ellendale/Fielding",645,810,"294122,338","5037438,124"
2,30,"Beaconsfield / Saint-Jacques",327,2010,"295751,571","5036046,102"
3,35,"Cavendish / Saint-Jacques",527,2010,"295086,29","5035736,47"
4,36,"Cavendish / Sherbrooke",527,2093,"294714,506","5035985,473"
5,44,"Décarie / Monkland inter. Ouest",691,1565,"295398,72","5037615,5"
6,47,"Décarie / Sherbrooke",691,2093,"296291,119","5037159,598"
7,54,"Girouard / Upper Lachine",985,2198,"296393,435","5036734,329"
8,62,"Sainte-Anne-de-Bellevue / Saint-Jacques",1966,2010,"294500,53",5035081
9,91,"Côte-Saint-Luc / Décarie inter. Ouest",645,691,"295194,15","5037858,91"
10,100,"Décarie / Jean-Talon inter.Est(desJockey",691,1176,"292855,06",5039425
11,109,"Décarie / Queen-Mary inter. Ouest",691,1826,"294697,34","5038182,5"
12,110,"Décarie / Royalmount/Savane inter. Est",691,1929,"292290,72",5039923
13,111,"Décarie / Royalmount/Savanne int. Ouest",691,1929,"292241,34",5039887
14,127,"Queen-Mary / Victoria",1826,2228,"295045,809","5038752,245"
15,142,"Côte-des-Neiges / Edouard-Montpetit",643,796,"295084,662","5039709,046"
16,152,"Côte-des-Neiges / Van Horne",643,2206,"294469,793","5040112,34"
17,190,"Van Horne / Victoria",2206,2228,"294043,896","5039391,629"
18,217,"Monk / Saint-Patrick",1564,2030,"297163,092","5035882,515"
19,219,"Atwater / Notre-Dame",289,1633,"298703,817","5037925,7645"
20,221,"Atwater / Saint-Jacques",289,2010,"298581,423","5038212,5495"
21,226,"Courcelle / Saint-Antoine/Saint-Jacques",649,1949,"297453,604","5037253,998"
22,240,"Montagne / Notre-Dame",1568,1633,"299737,4415","5039225,486"
23,249,"Rose-de-Lima / Saint-Antoine",1917,1949,"298145,373","5038037,641"
24,261,"Bridge / Saint-Patrick",465,2030,"300143,761","5038623,899"
25,266,"Cedar / Côte-des-Neiges",529,643,"297625,03","5039457,5"
26,271,"Côte-des-Neiges / Docteur-Penfield (int. sud)",643,728,"298026,53","5039609,5"
27,274,"Côte-des-Neiges / The Boulevard",643,2145,"297288,217","5039498,189"
28,279,"Peel / Pins",1711,1775,"298396,434","5040517,561"
29,281,"Pins / University",1775,2197,"298539,693","5040923,743"
30,284,"Atwater / Sainte-Catherine",289,1967,"298196,062","5038825,546"
31,285,"Atwater / Sherbrooke",289,2093,"297923,901","5039043,641"
32,297,"Bleury / Sainte-Catherine",407,1967,"299568,729","5040710,567"
33,298,"Bleury / Parc/Sherbrooke",407,2093,"299230,326","5040940,568"
34,303,"Côte-des-Neiges / Guy/Sherbrooke",643,2093,"298412,451","5039630,043"
35,304,"Crescent / Maisonneuve",657,1440,"298744,655","5039795,278"
36,316,"Guy / Maisonneuve",1037,1440,"298591,695","5039538,795"
37,319,"Dickson / Hochelaga",723,1089,"301827,807","5047774,777"
38,334,"Maisonneuve / Peel",1440,1711,"298963,322","5040110,414"
39,335,"Maisonneuve / Saint-Laurent",1440,2019,"299695,431","5041187,301"
40,341,"Maisonneuve / University",1440,2197,"299207,252","5040459,7"
41,368,"Saint-Laurent / Sherbrooke",2019,2093,"299374,817","5041400,074"
42,374,"Sherbrooke / University",2093,2197,"299057,684","5040563,945"
43,396,"Montagne / Saint-Antoine",1568,1949,"299397,055","5039462,845"
44,403,"Peel / Saint-Jacques",1711,2010,"299691,049","5039588,057"
45,404,"Peel / Wellington",1711,2255,"300311,157","5039266,057"
46,415,"Fort du / René-Lévesque",899,1863,"298654,3905","5038922,059"
47,416,"Guy / René-Lévesque",1037,1863,"298935,6075","5039323,894"
48,428,"René-Lévesque / University",1863,2197,"299537,0915","5040221,1145"
49,432,"Berri / René-Lévesque",389,1863,"300315,218","5041520,808"
50,433,"Berri / Saint-Antoine",389,1949,"300598,619","5041359,077"
51,437,"Bleury / Jean-Paul-Riopel / Viger",407,2233,"299973,882","5040435,743"
52,443,"René-Lévesque / Saint-Laurent",1863,2019,"299988,1395","5040991,819"
53,444,"René-Lévesque / Saint-Urbain",1863,2045,"299911,3055","5040867,025"
54,478,"Berri / Maisonneuve",389,1440,"300026,312","5041712,579"
55,514,"Beaubien / Parc",330,1678,"295987,102","5043005,242"
56,515,"Beaumont / Parc",347,1678,"295590,3","5043258,5"
57,517,"Bernard / Parc",386,1678,"296557,528","5042643,534"
58,518,"Bernard / Saint-Laurent",386,2019,"296812,859","5043053,828"
59,538,"Mont-Royal / Parc",1582,1678,"297821,714","5041875,574"
60,540,"Mont-Royal / Saint-Urbain",1582,2045,"297967,411","5042113,076"
61,542,"Parc / Saint-Joseph",1678,2016,"297426,0545","5042123,734"
62,544,"Parc / Van Horne",1678,2206,"296190,97","5042876,5"
63,546,"Pins / Saint-Laurent",1775,2019,"298931,613","5041683,075"
64,547,"Pins / Saint-Urbain",1775,2045,"298850,716","5041546,073"
65,550,"Rachel / Saint-Laurent",1832,2019,"298416,909","5042014,077"
66,553,"Saint-Joseph / Saint-Laurent",2016,2019,"297663,252","5042499,29"
67,606,"Saint-Denis / Saint-Joseph",1960,2016,"297933,973","5042927,7255"
68,611,"Langelier / Rosemont",1281,1918,"300537,679","5049623,274"
69,617,"Papineau / René-Lévesque",1676,1863,"300913,5384","5042385,8236"
70,627,"Iberville / Sainte-Catherine",1111,1967,"301203,193","5043280,597"
71,640,"La Fontaine / Papineau",1261,1676,"300360,42","5042745,8"
72,641,"Lorimier / Ontario",1382,1653,"300317,895","5043130,094"
73,645,"Frontenac / Hochelaga",936,1089,"300223,031","5043959,231"
74,667,"Iberville / Mont-Royal",1111,1582,"299430,807","5044349,608"
75,671,"Iberville / Sherbrooke",1111,2093,"300009,289","5044002,601"
76,686,"Christophe-Colomb / Saint-Grégoire",594,2005,"297751,639","5043634,29"
77,699,"Lorimier / Mont-Royal",1382,1582,"299141,621","5043919,437"
78,700,"Lorimier / Rachel",1382,1832,"299538,091","5043653,097"
79,702,"Lorimier / Saint-Joseph",1382,2016,"298756,31","5044175,6"
80,703,"Lorimier / Sherbrooke",1382,2093,"299876,293","5043429,096"
81,708,"Mont-Royal / Papineau",1582,1676,"298975,61","5043669,523"
82,709,"Papineau / Rachel",1676,1832,"299371,694","5043406,094"
83,711,"Papineau / Saint-Joseph",1676,2016,"298588,997","5043924,2505"
84,712,"Papineau / Sherbrooke",1676,2093,"299806,745","5043116,247"
85,716,"Iberville / Notre-Dame/Frontenac",1111,1633,"301327,919","5043210,33"
86,717,"Lorimier / Notre-Dame/Viger",1382,1633,"301215,602","5042539,591"
87,738,"Hochelaga / Pie-IX",1089,1738,"301034,198","5045849,5265"
88,741,"Hochelaga / Viau",1089,2220,"301487,493","5046842,412"
89,773,"Notre-Dame / Pie-IX",1633,1738,"302192,967","5045317,687"
90,798,"Pie-IX / Sherbrooke",1738,2093,"300538,73125","5046077,65625"
91,805,"Sherbrooke / Viau",2093,2220,"300551,65175","5047271,55025"
92,812,"Greene / Ste-Émilie/Sortie tun Atwater",1010,1975,"298713,94",5037749
93,858,"Jean-Talon / Saint-Michel",1176,2027,"297122,1155","5046551,5885"
94,859,"Lacordaire / Rosemont",1253,1918,"300123,145","5048744,0575"
95,865,"Pie-IX / Rosemont",1738,1918,"299035,6685","5046764,76475"
96,868,"Rosemont / Saint-Michel",1918,2027,"298522,766","5045926,74"
97,869,"Rosemont / Viau",1918,2220,"299627,6745","5047704,43175"
98,870,"Saint-Joseph / Saint-Michel",2016,2027,"299470,958","5045514,1565"
99,880,"Champdoré / Saint-Michel",545,2027,"294414,468666667","5048254,19633333"
100,882,"Denis-Papin / Saint-Michel",703,2027,"295313,6095","5047692,674"
101,902,"Grandes-Prairies / Pie-IX",1005,1738,"295002,338","5049087,308"
102,904,"Jarry / Pie-IX",1141,1738,"296790,0565","5047961,387"
103,906,"Jean-Talon / Pie-IX",1176,1738,"297668,258","5047407,5435"
104,920,"Dickson / Sherbrooke",723,2093,"300977,1615","5048174,0995"
105,928,"Honoré-Beaugrand / Sherbrooke",1096,2093,"302067,2655","5050732,137"
106,931,"Langelier / Sherbrooke",1281,2093,"301433,917","5049204,17275"
