"NO_OUVRAGE","NOM","x","y","LONG","LAT"
215,"CROIX DU MONT-ROYAL",297931.97941375,5040996.027761,-73.587896,45.508851
933,"MONUMENT LOUIS RUBINSTEIN (PC J.-MANCE)",297852.17692705,5041887.5038277,-73.58893,45.516872
963,"MONUMENT FRERE MARIE VICTORIN",300438.17341559,5046375.7571414,-73.55587,45.55728
1642,"LES GRAMINÉES DU JARDIN SAINT-SULPICE",293748.06907102,5046619.920714,-73.641568,45.559403
1643,"LIMITE TEMPS",292150.19645842,5047909.96526,-73.662069,45.570984
1644,"TRIPTYQUE SUR LE PAYSAGE",292182.80206358,5048405.4430954,-73.661664,45.575443
1645,"BUSTE DU DR. JOSÉ P. RIZAL",294320.02400983,5039018.7868703,-73.634079,45.491014
1646,"NEF POUR QUATORZE REINES",295596.20393158,5039563.0994204,-73.617762,45.49593
1647,"ASHAPMOUCHOUAN",298047.51361853,5042997.3709786,-73.586445,45.526861
1648,"HOMMAGE À CLAUDE JUTRA",299100.65899346,5041470.8336007,-73.572945,45.513134
1649,"HOMMAGE À MIHAI EMINESCU, POÈTE ROUMAIN",298826.27866062,5041655.7914572,-73.576459,45.514796
1650,"LES LEÇONS SINGULIÈRES (VOLET 1)",299304.8543796,5042404.7037602,-73.570342,45.521539
1651,"MONUMENT À ÉMILE-NELLIGAN",299363.27722335,5041939.7988764,-73.569589,45.517356
1652,"NEUF COULEURS AU VENT",299659.15267561,5042434.7466607,-73.565807,45.521812
1653,"TANGO DE MONTRÉAL",298444.4227307,5042704.3526895,-73.58136,45.524228
1654,"ÉPISODE",300228.65786367,5046731.8615212,-73.558557,45.560483
1655,"LA SOURCE",295596.05546184,5043877.4259426,-73.617845,45.534752
1656,"REGARDER LES POMMETIERS",300213.75315117,5046740.2123274,-73.558748,45.560558
1657,"TEMPS D'ARRÊT",297559.03166839,5045462.2589487,-73.592735,45.549036
1658,"LE VILLAGE IMAGINÉ",300112.70299462,5037282.26922,-73.559952,45.475451
1659,"LES ALLUSIFS",298902.93853777,5037683.4679533,-73.57543,45.479052
1660,"MONUMENT À LA POINTE",299060.78661923,5037343.0450876,-73.573407,45.47599
1661,"SUBLIME",300403.35726092,5037565.2165369,-73.556237,45.477999
1662,"BUSTE DE JOSE DE SAN MARTIN",298477.16030897,5038829.9686411,-73.580891,45.489365
1663,"CONTAINED UNIVERSE",302670.95213791,5040929.1813074,-73.527247,45.50828
1665,"GRATTE-CIEL, CASCADES, RUISSEAUX...",300095.15882002,5041733.7289816,-73.560219,45.515507
1666,"HOMMAGE À JEAN DRAPEAU",300625.84741869,5040957.9940891,-73.55342,45.50853
1667,"HOMMAGE À JÉROME LE ROYER",300635.21750912,5040953.8736913,-73.5533,45.508493
1668,"LE JARDIN DE LYON",300560.99088608,5041427.8894547,-73.554254,45.512758
1670,"MONUMENT AFTER BABEL / A CIVIC SQUARE",299553.84638644,5041125.4902598,-73.567141,45.51003
1671,"MONUMENT ÉMILIE-GAMELIN",300135.11367745,5041661.7920365,-73.559707,45.51486
1672,"MONUMENT LA VILLE IMAGINAIRE",301857.91533022,5041423.5990404,-73.537655,45.512726
1673,"MONUMENT LA PEUR",300481.84001658,5040166.5076759,-73.555256,45.501407
1674,"OPTIMAX (SISM-64)",297457.30514968,5040136.5247812,-73.593958,45.501112
1676,"PORTE DE JOUR",300817.84354096,5041351.2720577,-73.550966,45.51207
1677,"RÉVOLUTION",300683.61864524,5042674.1397726,-73.552695,45.523973
1678,"ATHÉNA",295091.48104126,5043100.270913,-73.62429,45.527752
1679,"CAESURA",294801.53613039,5044185.0356405,-73.628024,45.537509
1680,"TONNELLES DE LA ROSERAIE",300497.07466185,5046883.366148,-73.55512,45.561848
2038,"CLOCHE DE LA PAIX DU JARDIN JAPONAIS",300101.08936141,5046723.7307362,-73.560191,45.560409
2201,"MONUMENT LE BANC DES AMOUREUX",300248.84150036,5046251.7651708,-73.558294,45.556163
2218,"MONUMENT "" L'OISEAU """,299831.33633555,5046480.4572496,-73.563644,45.558218
2220,"MONUMENT SANS TITRE (BLOC)",299757.80257132,5046785.9067389,-73.564589,45.560966
2457,"LE LION DE LA FEUILLÉE",300456.48468386,5046544.2234058,-73.555637,45.558796
2511,"SCULPTURE "" LA FEMME AU COLLIER """,300357.09243943,5046645.0931442,-73.556911,45.559703
3515,"REMISE  (MUSÉE) (LCH)",291785.81046822,5032323.2704586,-73.666324,45.430722
3517,"LAITERIE (MUSÉE) (LCH)",291772.09351366,5032200.8286376,-73.666496,45.42962
5288,"LOCATION SOCLE / MÉTRO PLACE ST-HENRI",298029.6065179,5037472.8676212,-73.586598,45.477149
